name,category,city,state,rating,review_count,yelp_url
Southern Auto Brokers,Auto Dealer,Atlanta,GA,4.4,15,https://www.yelp.com/biz/southern-auto-brokers-woodstock
Randy L Furshman DDS,Dental,Miami,FL,4.8,48,https://www.yelp.com/biz/randy-l-furshman-dds-miami-4
"Ramon Bana, DDS",Dental,Miami,FL,5.0,23,https://www.yelp.com/biz/ramon-bana-dds-miami-6
Coral Gables Dentistry,Dental,Miami,FL,4.6,53,https://www.yelp.com/biz/coral-gables-dentistry-coral-gables
Miami Smile Dental,Dental,Miami,FL,4.8,22,https://www.yelp.com/biz/miami-smile-dental-miami
Dente Miami,Dental,Miami,FL,5.0,27,https://www.yelp.com/biz/dente-miami-miami
Jennifer Lopez Dental,Dental,Miami,FL,4.8,13,https://www.yelp.com/biz/jennifer-lopez-dental-miami
Everything Teeth - Miami,Dental,Miami,FL,4.9,27,https://www.yelp.com/biz/everything-teeth-miami-miami-2
Relax and Smile Dental Care,Dental,Miami,FL,4.3,92,https://www.yelp.com/biz/relax-and-smile-dental-care-miami
Deering Dental,Dental,Miami,FL,5.0,82,https://www.yelp.com/biz/deering-dental-palmetto-bay
Plump Cosmetics and Injectables - Miami,Med Spa,Miami,FL,4.8,53,https://www.yelp.com/biz/plump-cosmetics-and-injectables-miami-miami
Avalon Medical Spa,Med Spa,Miami,FL,4.9,48,https://www.yelp.com/biz/avalon-medical-spa-miami
smith & co botox specialist,Med Spa,Miami,FL,4.8,86,https://www.yelp.com/biz/smith-and-co-botox-specialist-miami-beach
The Parlour,Med Spa,Miami,FL,4.9,92,https://www.yelp.com/biz/the-parlour-miami
Skintique Miami,Med Spa,Miami,FL,4.6,97,https://www.yelp.com/biz/skintique-miami-coral-gables-2
Med Aesthetics Miami,Med Spa,Miami,FL,4.5,85,https://www.yelp.com/biz/med-aesthetics-miami-coral-gables
Monaco MedSpa,Med Spa,Miami,FL,5.0,8,https://www.yelp.com/biz/monaco-medspa-miami
Reset Lab,Med Spa,Miami,FL,4.2,5,https://www.yelp.com/biz/reset-lab-no-title
South Florida Auto Sales,Auto Dealer,Miami,FL,5.0,4,https://www.yelp.com/biz/south-florida-auto-sales-miami
The Deal Creator,Auto Dealer,Miami,FL,4.9,29,https://www.yelp.com/biz/the-deal-creator-fort-lauderdale
Miami Auto Liquidators,Auto Dealer,Miami,FL,4.2,5,https://www.yelp.com/biz/miami-auto-liquidators-miami
Torro Auto Brokers,Auto Dealer,Miami,FL,5.0,6,https://www.yelp.com/biz/torro-auto-brokers-miami
American Chariots Auto Brokers,Auto Dealer,Miami,FL,5.0,11,https://www.yelp.com/biz/american-chariots-auto-brokers-south-miami
Alma Car Sales,Auto Dealer,Miami,FL,5.0,3,https://www.yelp.com/biz/alma-car-sales-miami-7
Prado Auto Sales,Auto Dealer,Miami,FL,3.5,24,https://www.yelp.com/biz/prado-auto-sales-miami
Evolution Leasing,Auto Dealer,Miami,FL,4.9,38,https://www.yelp.com/biz/evolution-leasing-sunny-isles-beach
Miami Automall,Auto Dealer,Miami,FL,2.3,6,https://www.yelp.com/biz/miami-automall-miami
House of Food Porn,Restaurant,Miami,FL,4.8,76,https://www.yelp.com/biz/house-of-food-porn-miami-3
KPOT Korean BBQ & Hot Pot,Restaurant,Miami,FL,5.0,2,https://www.yelp.com/biz/kpot-korean-bbq-and-hot-pot-miami-2
Frankie And Wally's,Restaurant,Miami,FL,4.3,4,https://www.yelp.com/biz/frankie-and-wallys-coral-gables
W Dental,Dental,Dallas,TX,4.8,56,https://www.yelp.com/biz/w-dental-dallas
